NAME,B11002_001E,B11002_012E,B11005_001E,B11005_007E,state,county
"Adams County, Indiana",35417,4464,12345,630,18,001
"Allen County, Indiana",383093,70444,154183,12474,18,003
"Bartholomew County, Indiana",81867,14323,32984,2350,18,005
"Benton County, Indiana",8597,1366,3469,233,18,007
"Blackford County, Indiana",11868,2316,5060,364,18,009
"Boone County, Indiana",72146,10004,27948,1513,18,011
"Brown County, Indiana",15398,2061,6695,285,18,013
"Carroll County, Indiana",20328,3380,8024,331,18,015
"Cass County, Indiana",36755,6832,14924,1554,18,017
"Clark County, Indiana",121171,21016,49184,3616,18,019
"Clay County, Indiana",25971,4086,10541,816,18,021
"Clinton County, Indiana",32385,5735,12396,822,18,023
"Crawford County, Indiana",10383,1948,4573,145,18,025
"Daviess County, Indiana",32831,4135,11568,648,18,027
"Dearborn County, Indiana",50317,7390,20148,1014,18,029
"Decatur County, Indiana",25944,4213,10518,595,18,031
"DeKalb County, Indiana",43093,6138,17008,1162,18,033
"Delaware County, Indiana",104485,26725,46146,3664,18,035
"Dubois County, Indiana",42702,7411,17588,995,18,037
"Elkhart County, Indiana",203877,29035,71760,6083,18,039
"Fayette County, Indiana",22982,4344,9479,805,18,041
"Floyd County, Indiana",79029,13341,31173,2410,18,043
"Fountain County, Indiana",16417,2590,6854,469,18,045
"Franklin County, Indiana",22734,3326,9131,517,18,047
"Fulton County, Indiana",20253,2993,7927,623,18,049
"Gibson County, Indiana",32233,5505,13156,637,18,051
"Grant County, Indiana",60945,12104,26757,2269,18,053
"Greene County, Indiana",30587,5277,12781,833,18,055
"Hamilton County, Indiana",355247,41846,133171,6402,18,057
"Hancock County, Indiana",81314,11072,32246,1425,18,059
"Harrison County, Indiana",39324,5945,15154,738,18,061
"Hendricks County, Indiana",175497,21240,65839,3893,18,063
"Henry County, Indiana",45670,7896,18460,1225,18,065
"Howard County, Indiana",82444,16606,35129,3197,18,067
"Huntington County, Indiana",35376,6624,15227,995,18,069
"Jackson County, Indiana",45570,7178,17745,1099,18,071
"Jasper County, Indiana",32631,4472,12586,713,18,073
"Jay County, Indiana",20019,3335,7959,534,18,075
"Jefferson County, Indiana",31134,5918,12699,1171,18,077
"Jennings County, Indiana",27218,4154,10760,945,18,079
"Johnson County, Indiana",161257,22860,61513,3921,18,081
"Knox County, Indiana",34336,6887,15110,980,18,083
"Kosciusko County, Indiana",78797,12587,31747,1999,18,085
"LaGrange County, Indiana",40335,3252,12804,661,18,087
"Lake County, Indiana",493751,80741,193474,19928,18,089
"LaPorte County, Indiana",105170,19621,43681,3886,18,091
"Lawrence County, Indiana",44423,8899,19156,1052,18,093
"Madison County, Indiana",125787,23411,52843,4676,18,095
"Marion County, Indiana",956186,219360,396662,36611,18,097
"Marshall County, Indiana",45459,6712,17377,904,18,099
"Martin County, Indiana",9707,1805,3928,180,18,101
"Miami County, Indiana",33529,5145,13270,960,18,103
"Monroe County, Indiana",125481,42224,58264,3123,18,105
"Montgomery County, Indiana",36916,6750,15524,856,18,107
"Morgan County, Indiana",71324,9077,27713,1921,18,109
"Newton County, Indiana",13673,2089,5591,342,18,111
"Noble County, Indiana",46710,6672,17971,1097,18,113
"Ohio County, Indiana",5942,1008,2567,227,18,115
"Orange County, Indiana",19455,3176,7994,632,18,117
"Owen County, Indiana",21199,3369,8598,468,18,119
"Parke County, Indiana",15286,1983,5985,324,18,121
"Perry County, Indiana",17801,3552,7751,377,18,123
"Pike County, Indiana",11979,2112,4994,190,18,125
"Porter County, Indiana",170628,28255,68049,4031,18,127
"Posey County, Indiana",24870,3242,10270,540,18,129
"Pulaski County, Indiana",12266,2118,4894,352,18,131
"Putnam County, Indiana",32578,5195,13980,725,18,133
"Randolph County, Indiana",24064,4444,10182,659,18,135
"Ripley County, Indiana",28522,4219,11356,715,18,137
"Rush County, Indiana",16562,3097,6650,402,18,139
"St. Joseph County, Indiana",260697,53299,107005,8807,18,141
"Scott County, Indiana",24067,4826,9637,628,18,143
"Shelby County, Indiana",44306,7612,18145,1030,18,145
"Spencer County, Indiana",19553,3020,7979,323,18,147
"Starke County, Indiana",23216,4053,8758,507,18,149
"Steuben County, Indiana",33234,6162,13765,596,18,151
"Sullivan County, Indiana",18673,3274,7697,664,18,153
"Switzerland County, Indiana",9813,1838,3897,145,18,155
"Tippecanoe County, Indiana",171237,49406,74415,4239,18,157
"Tipton County, Indiana",15087,1744,6265,208,18,159
"Union County, Indiana",6971,928,2852,168,18,161
"Vanderburgh County, Indiana",173599,37452,77198,6887,18,163
"Vermillion County, Indiana",15238,2681,6560,397,18,165
"Vigo County, Indiana",98825,24713,42595,3313,18,167
"Wabash County, Indiana",29175,4951,12554,898,18,169
"Warren County, Indiana",8378,1221,3359,168,18,171
"Warrick County, Indiana",63761,8176,24697,1335,18,173
"Washington County, Indiana",27846,4093,10994,866,18,175
"Wayne County, Indiana",64081,11725,26818,2321,18,177
"Wells County, Indiana",27701,4088,11360,621,18,179
"White County, Indiana",24456,4296,9865,636,18,181
"Whitley County, Indiana",34015,5371,13929,817,18,183
