NAME,B01001_001E,B01001_026E,state,county
"Adams County, Indiana",35995,17987,18,001
"Allen County, Indiana",388791,197503,18,003
"Bartholomew County, Indiana",82881,40949,18,005
"Benton County, Indiana",8708,4244,18,007
"Blackford County, Indiana",12007,6132,18,009
"Boone County, Indiana",72827,36518,18,011
"Brown County, Indiana",15543,7767,18,013
"Carroll County, Indiana",20443,10045,18,015
"Cass County, Indiana",37703,18870,18,017
"Clark County, Indiana",122800,62470,18,019
"Clay County, Indiana",26431,13339,18,021
"Clinton County, Indiana",32967,16506,18,023
"Crawford County, Indiana",10494,5199,18,025
"Daviess County, Indiana",33442,16762,18,027
"Dearborn County, Indiana",50828,25461,18,029
"Decatur County, Indiana",26411,13198,18,031
"DeKalb County, Indiana",43584,21831,18,033
"Delaware County, Indiana",112109,57908,18,035
"Dubois County, Indiana",43563,21639,18,037
"Elkhart County, Indiana",206868,104237,18,039
"Fayette County, Indiana",23390,11831,18,041
"Floyd County, Indiana",80512,41142,18,043
"Fountain County, Indiana",16546,8252,18,045
"Franklin County, Indiana",22929,11530,18,047
"Fulton County, Indiana",20411,10085,18,049
"Gibson County, Indiana",32986,16243,18,051
"Grant County, Indiana",66377,34476,18,053
"Greene County, Indiana",30954,15227,18,055
"Hamilton County, Indiana",357176,181604,18,057
"Hancock County, Indiana",82013,41090,18,059
"Harrison County, Indiana",39785,19766,18,061
"Hendricks County, Indiana",179379,89272,18,063
"Henry County, Indiana",48896,23105,18,065
"Howard County, Indiana",83610,43009,18,067
"Huntington County, Indiana",36757,18330,18,069
"Jackson County, Indiana",46319,22697,18,071
"Jasper County, Indiana",33198,16662,18,073
"Jay County, Indiana",20281,10076,18,075
"Jefferson County, Indiana",33074,17168,18,077
"Jennings County, Indiana",27584,13569,18,079
"Johnson County, Indiana",163983,82751,18,081
"Knox County, Indiana",36108,17760,18,083
"Kosciusko County, Indiana",80357,40150,18,085
"LaGrange County, Indiana",40596,19959,18,087
"Lake County, Indiana",498990,256128,18,089
"LaPorte County, Indiana",112141,54005,18,091
"Lawrence County, Indiana",45077,22823,18,093
"Madison County, Indiana",130949,64907,18,095
"Marion County, Indiana",971822,501089,18,097
"Marshall County, Indiana",46225,22835,18,099
"Martin County, Indiana",9854,4782,18,101
"Miami County, Indiana",35772,16377,18,103
"Monroe County, Indiana",139822,70119,18,105
"Montgomery County, Indiana",38155,18725,18,107
"Morgan County, Indiana",72202,36221,18,109
"Newton County, Indiana",13859,6782,18,111
"Noble County, Indiana",47417,23457,18,113
"Ohio County, Indiana",5993,3017,18,115
"Orange County, Indiana",19746,9840,18,117
"Owen County, Indiana",21434,10585,18,119
"Parke County, Indiana",16346,8485,18,121
"Perry County, Indiana",19218,8729,18,123
"Pike County, Indiana",12187,6124,18,125
"Porter County, Indiana",174150,87928,18,127
"Posey County, Indiana",25163,12527,18,129
"Pulaski County, Indiana",12441,6259,18,131
"Putnam County, Indiana",37091,17516,18,133
"Randolph County, Indiana",24425,12214,18,135
"Ripley County, Indiana",29039,14505,18,137
"Rush County, Indiana",16734,8399,18,139
"St. Joseph County, Indiana",272574,139102,18,141
"Scott County, Indiana",24468,12356,18,143
"Shelby County, Indiana",45104,22710,18,145
"Spencer County, Indiana",19871,9713,18,147
"Starke County, Indiana",23300,11553,18,149
"Steuben County, Indiana",34648,16661,18,151
"Sullivan County, Indiana",20766,9472,18,153
"Switzerland County, Indiana",9914,4876,18,155
"Tippecanoe County, Indiana",187399,91425,18,157
"Tipton County, Indiana",15329,7607,18,159
"Union County, Indiana",7028,3553,18,161
"Vanderburgh County, Indiana",179908,92059,18,163
"Vermillion County, Indiana",15452,7668,18,165
"Vigo County, Indiana",106201,52585,18,167
"Wabash County, Indiana",30901,15739,18,169
"Warren County, Indiana",8469,4250,18,171
"Warrick County, Indiana",64650,32886,18,173
"Washington County, Indiana",28167,14166,18,175
"Wayne County, Indiana",66377,33981,18,177
"Wells County, Indiana",28261,14265,18,179
"White County, Indiana",24709,12249,18,181
"Whitley County, Indiana",34388,17168,18,183
