SUBSTANCE_CATEGORY,PATS,TC,TD,AVG_CHARGE,AVG_LOS
Alcohol Disorders,8768,249463208,36065,28451.55200729927,4.1132527372262775
Drug Overdose,2171,99666529,8432,45908.120221096266,3.883924458774758
Other Substance Related,1536,79838077,6613,51977.914713541664,4.305338541666667
Opioid Disorders,1172,16769798,5947,14308.701365187713,5.074232081911263
Opioid Overdose,1091,58237897,4289,53380.290559120076,3.9312557286892758
Stimulant Disorders,612,13436179,2704,21954.5408496732,4.4183006535947715
Sedative Disorders,223,5489392,1046,24616.107623318385,4.690582959641255
Other Psychoactive Substances,216,5383087,899,24921.699074074073,4.162037037037037
Cannabis Disorders,142,4395624,1245,30955.098591549297,8.767605633802816
Cocaine Disorders,64,2122569,278,33165.140625,4.34375
Hallucinogen Disorders,12,345140,49,28761.666666666668,4.083333333333333
Other Drug Overdose,7,260750,23,37250.0,3.2857142857142856
Inhalant Disorders,2,47460,6,23730.0,3.0
