county_fips,county_name,cdc_data_year,rate_range,overdose_rate_midpoint,acs_female_pop
18001,"Adams County, Indiana",2015,10.1-12,11.05,17987
18003,"Allen County, Indiana",2015,10.1-12,11.05,197503
18005,"Bartholomew County, Indiana",2015,16.1-18,17.05,40949
18007,"Benton County, Indiana",2015,18.1-20,19.05,4244
18009,"Blackford County, Indiana",2015,26.1-28,27.05,6132
18011,"Boone County, Indiana",2015,10.1-12,11.05,36518
18013,"Brown County, Indiana",2015,18.1-20,19.05,7767
18015,"Carroll County, Indiana",2015,12.1-14,13.05,10045
18017,"Cass County, Indiana",2015,6.1-8,7.05,18870
18019,"Clark County, Indiana",2015,18.1-20,19.05,62470
18021,"Clay County, Indiana",2015,14.1-16,15.05,13339
18023,"Clinton County, Indiana",2015,16.1-18,17.05,16506
18025,"Crawford County, Indiana",2015,22.1-24,23.05,5199
18027,"Daviess County, Indiana",2015,12.1-14,13.05,16762
18033,"DeKalb County, Indiana",2015,12.1-14,13.05,21831
18029,"Dearborn County, Indiana",2015,18.1-20,19.05,25461
18031,"Decatur County, Indiana",2015,16.1-18,17.05,13198
18035,"Delaware County, Indiana",2015,20.1-22,21.05,57908
18037,"Dubois County, Indiana",2015,8.1-10,9.05,21639
18039,"Elkhart County, Indiana",2015,8.1-10,9.05,104237
18041,"Fayette County, Indiana",2015,24.1-26,25.05,11831
18043,"Floyd County, Indiana",2015,16.1-18,17.05,41142
18045,"Fountain County, Indiana",2015,12.1-14,13.05,8252
18047,"Franklin County, Indiana",2015,20.1-22,21.05,11530
18049,"Fulton County, Indiana",2015,12.1-14,13.05,10085
18051,"Gibson County, Indiana",2015,10.1-12,11.05,16243
18053,"Grant County, Indiana",2015,20.1-22,21.05,34476
18055,"Greene County, Indiana",2015,18.1-20,19.05,15227
18057,"Hamilton County, Indiana",2015,8.1-10,9.05,181604
18059,"Hancock County, Indiana",2015,16.1-18,17.05,41090
18061,"Harrison County, Indiana",2015,10.1-12,11.05,19766
18063,"Hendricks County, Indiana",2015,10.1-12,11.05,89272
18065,"Henry County, Indiana",2015,28.1-30,29.05,23105
18067,"Howard County, Indiana",2015,24.1-26,25.05,43009
18069,"Huntington County, Indiana",2015,14.1-16,15.05,18330
18071,"Jackson County, Indiana",2015,16.1-18,17.05,22697
18073,"Jasper County, Indiana",2015,12.1-14,13.05,16662
18075,"Jay County, Indiana",2015,16.1-18,17.05,10076
18077,"Jefferson County, Indiana",2015,12.1-14,13.05,17168
18079,"Jennings County, Indiana",2015,18.1-20,19.05,13569
18081,"Johnson County, Indiana",2015,14.1-16,15.05,82751
18083,"Knox County, Indiana",2015,14.1-16,15.05,17760
18085,"Kosciusko County, Indiana",2015,10.1-12,11.05,40150
18087,"LaGrange County, Indiana",2015,4.1-6,5.05,19959
18091,"LaPorte County, Indiana",2015,12.1-14,13.05,54005
18089,"Lake County, Indiana",2015,6.1-8,7.05,256128
18093,"Lawrence County, Indiana",2015,14.1-16,15.05,22823
18095,"Madison County, Indiana",2015,28.1-30,29.05,64907
18097,"Marion County, Indiana",2015,18.1-20,19.05,501089
18099,"Marshall County, Indiana",2015,10.1-12,11.05,22835
18101,"Martin County, Indiana",2015,12.1-14,13.05,4782
18103,"Miami County, Indiana",2015,10.1-12,11.05,16377
18105,"Monroe County, Indiana",2015,16.1-18,17.05,70119
18107,"Montgomery County, Indiana",2015,18.1-20,19.05,18725
18109,"Morgan County, Indiana",2015,18.1-20,19.05,36221
18111,"Newton County, Indiana",2015,14.1-16,15.05,6782
18113,"Noble County, Indiana",2015,10.1-12,11.05,23457
18115,"Ohio County, Indiana",2015,24.1-26,25.05,3017
18117,"Orange County, Indiana",2015,12.1-14,13.05,9840
18119,"Owen County, Indiana",2015,14.1-16,15.05,10585
18121,"Parke County, Indiana",2015,12.1-14,13.05,8485
18123,"Perry County, Indiana",2015,12.1-14,13.05,8729
18125,"Pike County, Indiana",2015,12.1-14,13.05,6124
18127,"Porter County, Indiana",2015,14.1-16,15.05,87928
18129,"Posey County, Indiana",2015,10.1-12,11.05,12527
18131,"Pulaski County, Indiana",2015,20.1-22,21.05,6259
18133,"Putnam County, Indiana",2015,10.1-12,11.05,17516
18135,"Randolph County, Indiana",2015,14.1-16,15.05,12214
18137,"Ripley County, Indiana",2015,16.1-18,17.05,14505
18139,"Rush County, Indiana",2015,14.1-16,15.05,8399
18143,"Scott County, Indiana",2015,>30,,12356
18145,"Shelby County, Indiana",2015,16.1-18,17.05,22710
18147,"Spencer County, Indiana",2015,12.1-14,13.05,9713
18141,"St. Joseph County, Indiana",2015,12.1-14,13.05,139102
18149,"Starke County, Indiana",2015,>30,,11553
18151,"Steuben County, Indiana",2015,8.1-10,9.05,16661
18153,"Sullivan County, Indiana",2015,22.1-24,23.05,9472
18155,"Switzerland County, Indiana",2015,22.1-24,23.05,4876
18157,"Tippecanoe County, Indiana",2015,14.1-16,15.05,91425
18159,"Tipton County, Indiana",2015,20.1-22,21.05,7607
18161,"Union County, Indiana",2015,24.1-26,25.05,3553
18163,"Vanderburgh County, Indiana",2015,22.1-24,23.05,92059
18165,"Vermillion County, Indiana",2015,16.1-18,17.05,7668
18167,"Vigo County, Indiana",2015,16.1-18,17.05,52585
18169,"Wabash County, Indiana",2015,20.1-22,21.05,15739
18171,"Warren County, Indiana",2015,14.1-16,15.05,4250
18173,"Warrick County, Indiana",2015,8.1-10,9.05,32886
18175,"Washington County, Indiana",2015,16.1-18,17.05,14166
18177,"Wayne County, Indiana",2015,22.1-24,23.05,33981
18179,"Wells County, Indiana",2015,12.1-14,13.05,14265
18181,"White County, Indiana",2015,14.1-16,15.05,12249
18183,"Whitley County, Indiana",2015,10.1-12,11.05,17168
